summary,description,labels,component,issueType,reporter
Light Dark skin for Icon button,"<img width=""764"" alt=""Screenshot 2020-12-17 at 11 55 43"" src=""https://user-images.githubusercontent.com/5814585/102472251-ccae2380-405e-11eb-81c6-c7b4b4d0d42f.png"">
",dev,base-ui,Task,moshek
wix base ui types are returning to their home,"Ages ago we generated wix base ui types with `dts-gen` for `editor-elements`. (Or it was stolen from the [responsive-editor](https://github.com/wix-private/responsive-editor-packages/blob/master/types/wix-base-ui/index.d.ts#L67), nobody knows)

https://github.com/wix-private/editor-elements/blob/master/packages/editor-elements-library/src/externals/wix-base-ui.d.ts

We are thinking, now it is the time to return types to their sweet home.😄",dev,base-ui,Task,moshek
Manage versions and releases to support a deprecation process,"We are lately running into issues where a deprecation process like WSR could help us solve it in a better way.
We need to consider creating a changelog and manage versions and releases.","dev,Infra",base-ui,Task,moshek
Improve tooltip mechanism,"There are 5 open issues on problems with the tooltip - https://github.com/wix-private/wix-base-ui/issues?q=is%3Aopen+is%3Aissue+label%3ATooltip
We need to consider refactoring the mechanism, rewrite it with popper, or any other solution which can solve us the 5 issues all together.","dev,Infra,Tooltip",base-ui,Task,moshek
Add missing drivers for components in the library,This issue will be updated with a prioritized list of components.,"dev,Infra",base-ui,Task,moshek
Add visual tests for all the components in the library,This issue will be updated with a prioritized list of components.,"dev,Infra",base-ui,Task,moshek
Create Icons Bank,"Create an icons bank for the library
1. Users will be able to import a set of icons from the library
2. Add a storybook search mechanism to explore the icons bank (similar to wsr)
 
* Effort already started in UX side and reflected in Monday
I put it here because I feel it is part of our Technical Backlog and it is convenient to manage it from here.","dev,Docs,Icons",base-ui,Task,moshek
Add instructions on how to use colorPicker comopnents,"Currently, there are controls and composites in the library to work with the whole color picker variations.
There are also a few examples in the storybook.
In practice, these examples do not work. Users are currently opening the color pickers through the editor-platform sdk which uses internal editor implementation.
1. We need to explain it well in our docs
2. We need to move the storybook examples under WIP, because it's currently not working well.
3. We need to look at the impl. inside the editor-platform and realize whether it should be changed to use the components from base-ui.","dev,Docs",base-ui,Task,moshek
onChange callback is being called after value prop for Slider is changed,"Currently, there is an issue with Slider component.
When the value is being changed outside and updated props come, the onChange callback is being called.

After some debugging we've figured out that the reason is `NumericInput` being used inside:
https://github.com/wix-private/wix-base-ui/blob/master/src/controls/slider/slider.js#L208

Inside `NumericInput`, there is a prop check that finally calls onChange if the value doesn't being changed:
https://github.com/wix-private/wix-base-ui/blob/master/src/controls/numericInput/numericInput.js#L160
Calling `onChange` in this case doesn't have any sense, since it's calling additional setState on user's side and causing bugs.

```ts
const MyComp = () => {
const [value, setValue] = useState(0);

const handleChange = useCallback((newValue) => {
  setValue(newValue);
}, []);


return <Slider
  value={value}
  onChange={handleChange} // will be called twice
/>
};
```

Other component based on Slider also affected:
```ts

<OpacityPicker
  value={this.props.value} // in case, the value is changed outside of the component (for example after UNDO action), the this.handleOpacityChange will be called
  onChange={this.handleOpacityChange}
  opacityGradientColor={withoutOpacity(value.value)}
  automationId=""opacity-picker""
/>
```


","dev,Bug,Slider",base-ui,Task,moshek
Create e2e infra with Puppeteer,"Currently we do not have something the users can test interactive visual stuff, like for example - css hover states.","dev,Infra",base-ui,Task,moshek
<Tab/> - documentation is missing (Part of VerticalTabs),"![image](https://user-images.githubusercontent.com/6093192/97407742-c96ea500-1903-11eb-81c2-a57c5e35967b.png)

While `VerticalTabs` original API knows how to get `options`, it can get also child components of `Tab` and also add the dot indicator. maybe there are also other features.

Anyway, both the `Tab` and the composition should be documented","dev,Docs",base-ui,Task,moshek
<Composites.BannerPremium/> - missing documentation page,"Actually, it should be a component and not a composite, but at least let's document it first","dev,Docs",base-ui,Task,moshek
< RadioButtonsWithIllustration/> - missing documentation page,,"dev,Docs",base-ui,Task,moshek
Make it clear per-component if it has a responsive skin only or classic skin only,"Following Zohar's request, we need to make a good distinction per component skin.

We have this overlay that says some components are only for responsive which is nice:
![image](https://user-images.githubusercontent.com/6093192/93900779-77cc6c80-fcfe-11ea-9b48-9f3209d22599.png)

It could also be nice in the case when the ""Responsive Skin"" toggle is one - to show a similar also for the ""classic-only"" skin","dev,Infra",base-ui,Task,moshek
<Slider/> - organize features and map the gaps to the specs,"This feature for example exists but not documented, obviously need to map the gaps between the requirements (some features are missing in the specs)
```jsx
() => {
  const [value, setValue] = React.useState(42);

  return (
    <Slider
      hideNumericInput
      value={value}
      onChange={setValue}
      customFillGradient={`linear-gradient(to right, ${'red'}, ${'green'})`}
    />
  );
};
```","dev,Docs,enhancement",base-ui,Task,moshek
<InfoIcon/> - missing docs page,,"dev,Docs",base-ui,Task,moshek
"<ContextMenu /> doesn't re-render when adding Actions after first render, causing broken UI","1. Open a ContextMenu
2. Close it
3. Programatically add a ContextMenuAction with a long label (children of ContextMenu)
4. Open the ContextMenu again
Actual Behavior - The UI looks broken. See [CRVD-2701](https://jira.wixpress.com/browse/CRVD-2701)

I put in a fix in our repo, by adding the length of the children to the `key` of ContextMenu forcing it to re-render. see https://github.com/wix-private/wix-code-devex/pull/343","dev,Bug,ContextMenu",base-ui,Task,moshek
<Dropdown/> - cleanup the different dropdown options,"lately, a multi-select feature was added to the dropdown, and boy oh boy the mess...
there are quite a few list items, each is visually different (with illustration, with description, ...)

For the case of multi-select, but not only, a somewhat generic `<DropDownListItemOption/>` was created.
It supports the different UI requirements https://zpl.io/2p90X6Q.

however, it's still quite ugly to use since in order to use some variation, you should apply another class for the dropdown container - `larger-item-list-dropdown-options`
```jsx
      <DropDown
        placeholder=""With RoundedIllustrationContainer and disabled""
        optionsContainerClassName=""larger-item-list-dropdown-options""
        value={ddValue}
        onChange={setDdValue}
      >
        <DropDownListItemOption
          value=""1""
          label=""holder with icon 1""
          prefix={
            <RoundedIllustrationContainer>
              <SettingsIcon />
            </RoundedIllustrationContainer>
          }
        />
        <DropDownListItemOption
          value=""2""
          disabled
          label=""Disabled""
          prefix={
            <RoundedIllustrationContainer>
              <SettingsIcon />
            </RoundedIllustrationContainer>
          }
        />
      </DropDown>
```

The goal is to make sure that `DropDownListItemOption` is the only thing used and avoid adding the `larger-item-list-dropdown-options` classname.

It requires some investigation but that's the way to go","dev,enhancement",base-ui,Task,moshek
<ColorPickerPaletteDialog/> - missing documentation page,,"dev,Docs",base-ui,Task,moshek
<ColorPickerInput/> - missing component documentation,,"dev,Docs",base-ui,Task,moshek
<RichText/> - component documentation is missing,,"dev,Docs",base-ui,Task,moshek
